Timestamp	Exact Minute	BPM Recorded
Feb 21 at 2:42 AM	2:42 AM	124
Feb 21 at 2:42 AM	2:42 AM	123
Feb 21 at 2:42 AM	2:42 AM	118
Feb 21 at 2:42 AM	2:42 AM	117
Feb 21 at 2:42 AM	2:42 AM	118
Feb 21 at 2:42 AM	2:42 AM	122
Feb 21 at 2:42 AM	2:42 AM	123
Feb 21 at 2:42 AM	2:42 AM	128
Feb 21 at 2:42 AM	2:42 AM	120
Feb 21 at 2:42 AM	2:42 AM	114
Feb 21 at 2:43 AM	2:43 AM	116
Feb 21 at 2:43 AM	2:43 AM	123
Feb 21 at 2:43 AM	2:43 AM	121
Feb 21 at 2:43 AM	2:43 AM	126
Feb 21 at 2:43 AM	2:43 AM	125
Feb 21 at 2:43 AM	2:43 AM	127
Feb 21 at 2:43 AM	2:43 AM	124
Feb 21 at 2:43 AM	2:43 AM	124
Feb 21 at 2:43 AM	2:43 AM	127
Feb 21 at 2:43 AM	2:43 AM	120
Feb 21 at 2:43 AM	2:43 AM	120
Feb 21 at 2:44 AM	2:44 AM	123
Feb 21 at 2:44 AM	2:44 AM	136
Feb 21 at 2:44 AM	2:44 AM	136
Feb 21 at 2:44 AM	2:44 AM	128
Feb 21 at 2:44 AM	2:44 AM	127
Feb 21 at 2:44 AM	2:44 AM	127
Feb 21 at 2:44 AM	2:44 AM	128
Feb 21 at 2:44 AM	2:44 AM	129
Feb 21 at 2:44 AM	2:44 AM	124
Feb 21 at 2:44 AM	2:44 AM	123
Feb 21 at 2:44 AM	2:44 AM	127
Feb 21 at 2:45 AM	2:45 AM	126
Feb 21 at 2:45 AM	2:45 AM	125
Feb 21 at 2:45 AM	2:45 AM	132
Feb 21 at 2:45 AM	2:45 AM	133
Feb 21 at 2:45 AM	2:45 AM	134
Feb 21 at 2:45 AM	2:45 AM	132
Feb 21 at 2:45 AM	2:45 AM	136
Feb 21 at 2:45 AM	2:45 AM	135
Feb 21 at 2:45 AM	2:45 AM	129